order,start_day,name,place,image,,,,
182,1201,猫になりたい,屋上？,images/1201/猫になりたい.jpg,,,,
183,1201,酒賭け麻雀,くすのき前,images/1201/酒賭け麻雀.jpg,,,,
184,1201,駅伝,京大、東大路,images/1201/駅伝.jpg,,,,
185,1201,がくえんゆーとぴあ　まなびストレート上映会,食北or鉄扉,images/1201/がくえんゆーとぴあ　まなびストレート上映会.jpg,,,,
186,1201,ダイナモローラーを、救わない,どこでも,images/1201/ダイナモローラーを、救わない.jpg,,,,
187,1201,京都市バス鬼ごっこ,京都市全域,images/1201/京都市バス鬼ごっこ.jpg,,,,
188,1201,ダサい食事会,どこでも,images/1201/ダサい食事会.jpg,,,,
189,1201,色んな穴を空けよう,食堂,images/1201/色んな穴を空けよう.jpg,,,,
190,1201,着衣麻雀,クスノキ前,images/1201/着衣麻雀.jpg,,,,
191,1201,劇団「未必の故意」旗揚げ公演,食北,images/1201/劇団「未必の故意」旗揚げ公演.jpg,,,,
192,1201,鴨川水球,鴨川,images/1201/鴨川水球.jpg,,,,
193,1201,クソデカプリンを作る会,食堂,images/1201/クソデカプリンを作る会.jpg,,,,
194,1201,アニメサウナ,食堂、食北,images/1201/アニメサウナ.jpg,,,,
195,1201,利き寮生,総人広場,images/1201/利き寮生.jpg,,,,
196,1201,Nグラム計れ！,食堂,images/1201/Nグラム計れ！.jpg,,,,
197,1201,ニセモノコンパ,食堂,images/1201/ニセモノコンパ.jpg,,,,
198,1201,ボツ寮祭企画供養,寮内のどこか,images/1201/ボツ寮祭企画供養.jpg,,,,
199,1201,食べるの遅い人,食堂,images/1201/食べるの遅い人.jpg,,,,
200,1201,食べるの早い人,食堂,images/1201/食べるの早い人.jpg,,,,
201,1201,復刻にぼ次郎,どこか,images/1201/復刻にぼ次郎.jpg,,,,
202,1201,ＹＡＭＡＧＡＭＩチャレンジ,開けた場所,images/1201/ＹＡＭＡＧＡＭＩチャレンジ.jpg,,,,
203,1201,人間らしく生きられる社会のために　コンビニ24時間営業強制反対の闘いに学ぶ　,食堂,images/1201/人間らしく生きられる社会のために　コンビニ24時間営業強制反対の闘いに学ぶ　.jpg,,,,
204,1201,人生懸かってる風にギャンブルをしよう,賭場,images/1201/人生懸かってる風にギャンブルをしよう.jpg,,,,
205,1201,桜Trickオールナイト上映会,鉄扉,images/1201/桜Trickオールナイト上映会.jpg,,,,
206,1201,宇宙よりも遠い場所,山岡家,images/1201/宇宙よりも遠い場所.jpg,,,,
207,1201,魔法陣を描こう,吉田南グラウンド,images/1201/魔法陣を描こう.jpg,,,,
208,1201,入れ替わっちゃった！,食堂,images/1201/入れ替わっちゃった！.jpg,,,,
209,1201,クッキー☆コンパ,食堂,images/1201/クッキー☆コンパ.jpg,,,,
210,1201,四色問題色塗り,食北,images/1201/四色問題色塗り.jpg,,,,
211,1201,５文字以上縛り絵しりとり,食堂,images/1201/５文字以上縛り絵しりとり.jpg,,,,
212,1201,闇鍋vs光鍋,食堂,images/1201/闇鍋vs光鍋.jpg,,,,
213,1201,ぬいぐるみ枕投げ,食堂,images/1201/ぬいぐるみ枕投げ.jpg,,,,
214,1202,レシート回収,食堂,images/1202/レシート回収.jpg,,,,
215,1202,バーフバリ上映会,食堂又は食堂北部,images/1202/バーフバリ上映会.jpg,,,,
216,1202,百万遍牛丼RTA,百万遍,images/1202/百万遍牛丼RTA.jpg,,,,
217,1202,健康麻雀,食堂,images/1202/健康麻雀.jpg,,,,
218,1202,非合理かき氷,C12,images/1202/非合理かき氷.jpg,,,,
219,1202,総長室突入,京都大学,images/1202/総長室突入.jpg,,,,
220,1202,総長室にピザ10枚送る,京大構内,images/1202/総長室にピザ10枚送る.jpg,,,,
221,1202,焼畑,中庭,images/1202/焼畑.jpg,,,,
222,1202,FINAL FANTASY Ⅶ アドベントチルドレン上映会,食堂北部,images/1202/FINAL FANTASY Ⅶ アドベントチルドレン上映会.jpg,,,,
223,1202,AB棟間万人橋,Ａ棟屋上,images/1202/AB棟間万人橋.jpg,,,,
224,1202,AB棟間綱引き,AB棟屋上,images/1202/AB棟間綱引き.jpg,,,,
225,1202,恋バナ人狼,みんなが酔っている場所,images/1202/恋バナ人狼.jpg,,,,
226,1202,道上と飲もう！！,食堂,images/1202/道上と飲もう！！.jpg,,,,
227,1202,コロナ追いコン,食堂,images/1202/コロナ追いコン.jpg,,,,
228,1202,後の祭り祭り,食堂,images/1202/後の祭り祭り.jpg,,,,
229,1202,さいだのサイダー,食堂,images/1202/さいだのサイダー.jpg,,,,
230,1202,この人だーれだ？,食堂,images/1202/この人だーれだ？.jpg,,,,
231,1202,お湯なしカップラーメン早食い対決,食堂,images/1202/お湯なしカップラーメン早食い対決.jpg,,,,
232,1202,松田誕生日会,食堂,images/1202/松田誕生日会.jpg,,,,
233,1202,混沌チーズフォンデュ,食堂,images/1202/混沌チーズフォンデュ.jpg,,,,
234,1202,ポストモダン焼,食堂,images/1202/ポストモダン焼.jpg,,,,
235,1202,利き熊野水,寮内,images/1202/利き熊野水.jpg,,,,
236,1202,取得単位数ブラックジャック,総人広場,images/1202/取得単位数ブラックジャック.jpg,,,,
237,1202,CLUB KUSUNOKI,クスノキ前,images/1202/CLUB KUSUNOKI.jpg,,,,
238,1202,24時間連続でしゃべる,クスノキ前,images/1202/24時間連続でしゃべる.jpg,,,,
239,1202,人間チョコフォンデュ,熊野寮,images/1202/人間チョコフォンデュ.jpg,,,,
240,1202,耐久ドミニオン,食堂,images/1202/耐久ドミニオン.jpg,,,,
241,1202,冥土喫茶,どこか,images/1202/冥土喫茶.jpg,,,,
242,1202,えざがち家焼き2周年コンパ,BC棟間,images/1202/えざがち家焼き2周年コンパ.jpg,,,,
243,1202,お茶会,食堂,images/1202/お茶会.jpg,,,,
244,1202,シャンパンタワー,食堂,images/1202/シャンパンタワー.jpg,,,,
245,1202,ファミマと連帯,ファミマ,images/1202/ファミマと連帯.jpg,,,,
246,1202,ファミマ以外全部と連帯,ファミマ,images/1202/ファミマ以外全部と連帯.jpg,,,,
247,1202,手作り入浴剤で寮祭のつかれをいやす,食堂,images/1202/手作り入浴剤で寮祭のつかれをいやす.jpg,,,,
248,1203,サメウォッチング,食北,images/1203/サメウォッチング.jpg,,,,
249,1203,タイBLドラマ耐久上映会,食堂北(というかスクリーンがあるところ？),images/1203/タイBLドラマ耐久上映会.jpg,,,,
250,1203,混沌アイス,どこか,images/1203/混沌アイス.jpg,,,,
251,1203,喫茶・軽食クマノ,軟鉄庵,images/1203/喫茶・軽食クマノ.jpg,,,,
252,1203,闇のワクワクさん,民生池、食堂,images/1203/闇のワクワクさん.jpg,,,,
253,1203,2023年度NF統一テーマを考えよう,どこでも,images/1203/2023年度NF統一テーマを考えよう.jpg,,,,
